Delivery Date,Cycle ,Order No,MROS,Fix,Dock,Supplier,Part ,Kbn,Kbn ser.no,Delivery address,PC store,Lineside,Pick Route,Pick Seq,Del Rte ,Del Seq,Lot,Serial
2024-12-05,1,,,F,HY,01542,162810T33000,R120,1,ASSY1-0123,A09..-0201,ASSY1-0123,T,9,T,22,60,67435
2024-12-05,1,,,F,HY,01542,162610T29000,R212,1,ASSY1-0120,A05..-0102,ASSY1-0120,T,5,Z,81,40,67435
2024-12-05,1,,,F,HY,01371,122810T04000,R360,1,ASSY2-0205,A14..-0301,ASSY2-0205,T,14,T,282,40,67435
2024-12-05,1,,,F,HY,01022,121020T04000,R458,1,SPS4.-0013,A32..-0101,SPS4.-0013,T,32,T,129,8,67435
2024-12-05,1,,,F,K1,43701,90105W020100,R968,1,SPS4.-0309,A24..-0103,SPS4.-0309,T,24,T,129,500,67435
2024-12-05,1,,,F,K1,45051,135610T08000,R662,1,SPS4.-1003,A25..-0204,SPS4.-1003,T,25,T,285,39,67435
2024-12-05,1,,,F,K1,48251,256010T03000,R231,1,SPS4.-0701,A29..-0101,SPS4.-0701,T,29,T,154,4,67435
2024-12-05,1,,,F,K1,48251,256010T03000,R231,2,SPS4.-0701,A29..-0101,SPS4.-0701,T,29,T,154,4,67435
2024-12-05,1,,,F,K1,48251,256010T03000,R231,3,SPS4.-0701,A29..-0101,SPS4.-0701,T,29,T,154,4,67435
2024-12-05,1,,,F,K1,14061,220300T16000,R427,1,SPS2.-0703,A08..-0201,SPS2.-0703,T,8,T,1,10,67435
2024-12-05,1,,,F,K1,20401,90311W001100,R540,1,PITCH-0006,A21..-0101,PITCH-0006,T,21,T,1,120,67435
2024-12-05,1,,,F,K1,11371,162680T32000,R327,1,SPS4.-0801,A30..-0101,SPS4.-0801,T,30,T,154,18,67435
2024-12-05,1,,,F,K1,45051,135400T03000,R620,1,PITCH-0009,A19..-0305,PITCH-0009,T,19,T,233,36,67435
2024-12-05,1,,,F,K1,14061,220300T11000,R420,1,SPS2.-0503,A07..-0101,SPS2.-0503,T,7,T,50,10,67435
2024-12-05,1,,,F,K1,35513,90910TC00100,R475,1,ASSY1-0405,A08..-0304,ASSY1-0405,T,8,Z,92,25,67435
2024-12-05,1,,,F,K1,14061,156090T08000,R405,1,SPS4.-0101,A31..-0101,SPS4.-0101,T,31,T,300,14,67435
2024-12-05,1,,,F,K1,43701,90119W030800,R997,1,ASSY2-0213,A10..-0403,ASSY2-0213,T,10,T,102,750,67435
2024-12-05,1,,,F,K1,43701,90105W020200,R969,1,SPS4.-0306,A09..-0305,SPS4.-0306,T,9,T,129,310,67435
2024-12-05,1,,,F,K1,43701,90109W001900,R992,1,PITCH-0010,A22..-0403,PITCH-0010,T,22,A,233,670,67435
2024-12-05,1,,,F,K1,32606,163210T01000,R580,1,SPS4.-0433,A24..-0201,SPS4.-0433,T,24,Z,129,20,67435
2024-12-05,1,,,F,K1,11294,90915CA00400,R529,1,SPS4.-0102,A33..-0101,SPS4.-0102,T,33,T,302,25,67435
2024-12-05,1,,,F,K1,35508,232090T07000,R909,1,PITCH-0004,A19..-0301,PITCH-0004,T,19,T,206,60,67435
2024-12-05,1,,,F,K1,43701,90105W020100,R968,2,ASSY2-0302,A24..-0103,ASSY2-0302,T,24,T,62,500,67435
2024-12-05,1,,,F,K1,15201,135210T07000,R901,1,SPS4.-0417,A25..-0203,SPS4.-0417,T,25,T,129,208,67435
2024-12-05,1,,,F,K1,35508,894670222000,R026,1,SPS2.-0414,A08..-0305,SPS2.-0414,T,8,Z,327,40,67435
2024-12-05,1,,,F,K2,JAPAN,901050845500,Z398,1,HEAD.-SUB3,A22..-0201,HEAD.-SUB3,T,22,T,222,300,67435
2024-12-05,1,,,F,K2,JAPAN,135072801000,Z200,1,SPS4.-0429,A25..-0206,SPS4.-0429,T,25,T,129,144,67435
2024-12-05,1,,,F,K2,JAPAN,163313710000,Z226,1,PITCH-0001,A12..-0406,PITCH-0001,T,12,T,1,16,67435
2024-12-05,1,,,F,K2,JAPAN,909100216600,Z548,1,HEAD.-SUB1,A22..-0204,HEAD.-SUB1,T,22,T,190,100,67435
2024-12-05,1,,,F,K2,JAPAN,909100216600,Z548,2,HEAD.-SUB1,A22..-0204,HEAD.-SUB1,T,22,T,190,100,67435
2024-12-05,1,,,F,K2,JAPAN,256013706000,Z249,1,SPS4.-0603,A26..-0303,SPS4.-0603,T,26,T,154,6,67435
2024-12-05,1,,,F,K2,JAPAN,257193701100,Z111,1,PITCH-0011,A20..-0401,PITCH-0011,T,20,T,1,5,67435
