Shift,Date & Shift,Index,"Date. Shift, Index & Mod",,Dock Code,Container,Module,No Of Boxes,Stocking Date,Stocking Time,Stocking Shift,Lineoff Date,Line Counter,Module Volume,Cumulative Module Volume,Physical Seq Number,Vanning Date,Scheduled Packing Date,Combined Line Counter,Stocking Plan Modified By,Stocking Plan Modified Timestamp,Stocked Status,Stocked By,Stocked Timestamp,
1,202410211,1,2024102111H,H,K2,P0721,HF07,76,2024-10-21,07:30,1,2024-10-21,1,0,0,,2024-08-01,2024-07-31,16.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
1,202410211,2,2024102112H,H,K3,P0727,HB02,36,2024-10-21,07:30,1,2024-10-21,1,0,0,,2024-08-06,2024-08-06,1.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
1,202410211,3,2024102113H,H,K3,P0727,HB03,30,2024-10-21,07:53,1,2024-10-21,27,0,0,,2024-08-06,2024-08-06,48.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
1,202410211,4,2024102114H,H,K3,P0727,HB04,54,2024-10-21,08:13,1,2024-10-21,49,0,0,,2024-08-06,2024-08-05,61.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
1,202410211,5,2024102115H,H,K2,P0721,HF08,93,2024-10-21,08:37,1,2024-10-21,76,0,0,,2024-08-01,2024-07-31,84.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
1,202410211,6,2024102116H,H,K3,P0727,HB05,42,2024-10-21,08:48,1,2024-10-21,88,0,0,,2024-08-06,2024-08-06,123.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
1,202410211,7,2024102117H,H,K3,P0727,HB06,48,2024-10-21,09:15,1,2024-10-21,118,0,0,,2024-08-06,2024-08-06,141.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
1,202410211,8,2024102118H,H,K3,P0727,HB07,42,2024-10-21,10:02,1,2024-10-21,153,0,0,,2024-08-06,2024-08-06,161.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
1,202410211,9,2024102119H,H,K2,P0721,HF09,66,2024-10-21,10:15,1,2024-10-21,168,0,0,,2024-08-01,2024-07-31,179.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
1,202410211,10,20241021110H,H,K3,P0727,HB08,48,2024-10-21,10:29,1,2024-10-21,183,0,0,,2024-08-06,2024-08-06,207.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
1,202410211,11,20241021111H,H,K3,P0727,HB09,35,2024-10-21,11:01,1,2024-10-21,218,0,0,,2024-08-06,2024-08-06,227.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
1,202410211,12,20241021112H,H,K2,P0722,HF01,80,2024-10-21,11:14,1,2024-10-21,233,0,0,,2024-08-01,2024-07-31,242.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
1,202410211,12,20241021112X,X,K2,P0722,BH01,1,2024-10-21,11:14,1,2024-10-21,233,0,0,,2024-08-01,2024-08-01,242.0000,System,2024-08-27 14:46,FALSE,,,
1,202410211,12,20241021112X,X,K2,P0722,BH02,1,2024-10-21,11:14,1,2024-10-21,233,0,0,,2024-08-01,2024-08-01,242.0000,System,2024-08-27 14:46,FALSE,,,
1,202410211,12,20241021112X,X,K2,P0722,BH03,1,2024-10-21,11:14,1,2024-10-21,233,0,0,,2024-08-01,2024-08-01,242.0000,System,2024-08-27 14:46,FALSE,,,
1,202410211,12,20241021112X,X,K2,P0722,BH04,1,2024-10-21,11:14,1,2024-10-21,233,0,0,,2024-08-01,2024-08-01,242.0000,System,2024-08-27 14:46,FALSE,,,
1,202410211,12,20241021112X,X,K2,P0722,BH05,1,2024-10-21,11:14,1,2024-10-21,233,0,0,,2024-08-01,2024-08-01,242.0000,System,2024-08-27 14:46,FALSE,,,
1,202410211,12,20241021112X,X,K2,P0722,BH06,1,2024-10-21,11:14,1,2024-10-21,233,0,0,,2024-08-01,2024-08-01,242.0000,System,2024-08-27 14:46,FALSE,,,
1,202410211,12,20241021112X,X,K2,P0722,BK01,1,2024-10-21,11:14,1,2024-10-21,233,0,0,,2024-08-01,2024-08-01,242.0000,System,2024-08-27 14:46,FALSE,,,
1,202410211,12,20241021112X,X,K2,P0722,BK02,1,2024-10-21,11:14,1,2024-10-21,233,0,0,,2024-08-01,2024-08-01,242.0000,System,2024-08-27 14:46,FALSE,,,
1,202410211,12,20241021112X,X,K2,P0722,FJ01,72,2024-10-21,11:14,1,2024-10-21,233,0,0,,2024-08-01,2024-08-01,242.0000,System,2024-08-27 14:46,FALSE,,,
1,202410211,12,20241021112X,X,K2,P0722,FJ02,72,2024-10-21,11:14,1,2024-10-21,233,0,0,,2024-08-01,2024-08-01,242.0000,System,2024-08-27 14:46,FALSE,,,
1,202410211,12,20241021112X,X,K2,P0722,YP01,1,2024-10-21,11:14,1,2024-10-21,233,0,0,,2024-08-01,2024-08-01,242.0000,System,2024-08-27 14:46,FALSE,,,
1,202410211,12,20241021112X,X,K2,P0722,YP02,1,2024-10-21,11:14,1,2024-10-21,233,0,0,,2024-08-01,2024-08-01,242.0000,System,2024-08-27 14:46,FALSE,,,
1,202410211,12,20241021112X,X,K2,P0722,YP03,1,2024-10-21,11:14,1,2024-10-21,233,0,0,,2024-08-01,2024-08-01,242.0000,System,2024-08-27 14:46,FALSE,,,
1,202410211,13,20241021113H,H,K3,P0727,HB10,36,2024-10-21,11:23,1,2024-10-21,243,0,0,,2024-08-06,2024-08-06,275.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
1,202410211,14,20241021114H,H,K3,P0727,HB11,42,2024-10-21,11:47,1,2024-10-21,269,0,0,,2024-08-06,2024-08-06,290.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
1,202410211,15,20241021115H,H,K3,P0727,HB12,54,2024-10-21,12:44,1,2024-10-21,299,0,0,,2024-08-06,2024-08-06,308.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
1,202410211,16,20241021116H,H,K2,P0722,HF02,88,2024-10-21,12:56,1,2024-10-21,312,0,0,,2024-08-01,2024-08-01,331.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
1,202410211,17,20241021117H,H,K3,P0727,HB13,30,2024-10-21,13:19,1,2024-10-21,338,0,0,,2024-08-06,2024-08-06,368.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
1,202410211,18,20241021118H,H,K3,P0727,HB14,18,2024-10-21,13:39,1,2024-10-21,360,0,0,,2024-08-06,2024-08-06,381.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
1,202410211,19,20241021119H,H,K3,P0727,HB15,33,2024-10-21,13:51,1,2024-10-21,373,0,0,,2024-08-06,2024-08-06,389.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
1,202410211,20,20241021120H,H,K3,P0727,HB16,30,2024-10-21,14:13,1,2024-10-21,397,0,0,,2024-08-06,2024-08-06,403.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
1,202410211,21,20241021121H,H,K2,P0722,HF03,92,2024-10-21,14:14,1,2024-10-21,399,0,0,,2024-08-01,2024-08-01,416.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
1,202410211,22,20241021122H,H,K3,P0727,HB17,60,2024-10-21,14:32,1,2024-10-21,419,0,0,,2024-08-06,2024-08-06,454.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
1,202410211,23,20241021123H,H,K3,P0727,HB18,42,2024-10-21,15:21,1,2024-10-21,462,0,0,,2024-08-06,2024-08-06,479.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
2,202410212,1,2024102121H,H,K2,P0722,HF04,91,2024-10-21,20:30,2,2024-10-21,1,0,0,,2024-08-01,2024-08-01,26.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
2,202410212,2,2024102122H,H,K3,P0727,HB19,58,2024-10-21,20:30,2,2024-10-21,1,0,0,,2024-08-06,2024-08-06,1.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
2,202410212,3,2024102123H,H,K3,P0727,HB20,48,2024-10-21,21:06,2,2024-10-21,41,0,0,,2024-08-06,2024-08-06,65.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
2,202410212,4,2024102124H,H,K3,P0727,HB21,36,2024-10-21,21:35,2,2024-10-21,74,0,0,,2024-08-06,2024-08-06,86.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
2,202410212,5,2024102125H,H,K3,P0727,HB22,30,2024-10-21,21:58,2,2024-10-21,99,0,0,,2024-08-06,2024-08-06,102.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
2,202410212,6,2024102126H,H,K2,P0722,HF05,84,2024-10-21,22:04,2,2024-10-21,106,0,0,,2024-08-01,2024-08-01,115.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
2,202410212,7,2024102127H,H,K3,P0727,HB23,36,2024-10-21,22:17,2,2024-10-21,120,0,0,,2024-08-06,2024-08-06,151.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
2,202410212,8,2024102128H,H,K3,P0727,HB24,48,2024-10-21,22:40,2,2024-10-21,145,0,0,,2024-08-06,2024-08-06,167.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
2,202410212,9,2024102129H,H,K3,P0727,HB25,36,2024-10-21,23:25,2,2024-10-21,178,0,0,,2024-08-06,2024-08-06,188.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
2,202410212,10,20241021210H,H,K2,P0722,HF06,83,2024-10-21,23:47,2,2024-10-21,203,0,0,,2024-08-01,2024-08-01,222.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
2,202410212,11,20241021211H,H,K3,P0727,HB26,42,2024-10-21,23:47,2,2024-10-21,203,0,0,,2024-08-06,2024-08-06,204.0000,JOSHUA.ROBB@TMUK.DEESIDE,2024-10-24 09:47,FALSE,,,
